Name,University,Link,WebSite,Duration
How to Write Your First Song,The University of Sheffield,https://www.classcentral.com/course/songwriting-3369,,"3 hours a week , 6 weeks long"
Sustainability in Architecture: An Interdisciplinary Introduction,Universitat Politècnica de València,https://www.classcentral.com/course/songwriting-3369,,"3-4 hours a week , 4 weeks long"
Gamification,University of Pennsylvania,https://www.classcentral.com/course/songwriting-3369,,"4-8 hours a week , 6 weeks long"
Introduction to Real-Time Audio Programming in ChucK,California Institute of the Arts,https://www.classcentral.com/course/songwriting-3369,Kadenze,/
Sound Production in Ableton Live for Musicians and Artists,California Institute of the Arts,https://www.classcentral.com/course/songwriting-3369,Kadenze,
Radio para internet con Podcast: creación y conceptos básicos,Universitat Politècnica de València,https://www.classcentral.com/course/songwriting-3369,,"3-4 hours a week , 6 weeks long"
Introduction to Classical Music,Yale University,https://www.classcentral.com/course/songwriting-3369,,"3-5 hours a week , 9 weeks long"
Guitar for Beginners,Berklee College of Music,https://www.classcentral.com/course/songwriting-3369,,"6-8 hours a week , 6 weeks long"
Songwriting: Writing the Lyrics,Berklee College of Music,https://www.classcentral.com/course/songwriting-3369,,"6-8 hours a week , 6 weeks long"
Introduction to Graphic Illustration,Cornish College of the Arts,https://www.classcentral.com/course/songwriting-3369,Kadenze,
The Music of the Beatles,University of Rochester,https://www.classcentral.com/course/songwriting-3369,,"2-4 hours a week , 7 weeks long"
Programming Max: Structuring Interactive Software for Digital Arts,Stanford University,https://www.classcentral.com/course/songwriting-3369,Kadenze,
The 3D Printing Revolution,University of Illinois at Urbana-Champaign,https://www.classcentral.com/course/songwriting-3369,,/
"History of Rock, Part One",University of Rochester,https://www.classcentral.com/course/songwriting-3369,,"2-4 hours a week , 8 weeks long"
Innovation: The Fashion Industry,University of Leeds,https://www.classcentral.com/course/songwriting-3369,,"2 hours a week , 2 weeks long"
Developing Your Musicianship,Berklee College of Music,https://www.classcentral.com/course/songwriting-3369,,"4-5 hours a week , 6 weeks long"
Exploring Beethoven’s Piano Sonatas,Curtis Institute of Music,https://www.classcentral.com/course/songwriting-3369,,"1-3 hours a week , 12 weeks long"
Fundamentals of Music Theory,University of Edinburgh,https://www.classcentral.com/course/songwriting-3369,,"5-8 hours a week , 6 weeks long"
Design: Creation of Artifacts in Society,University of Pennsylvania,https://www.classcentral.com/course/songwriting-3369,,"5-10 hours a week , 6 weeks long"
"Film, Images & Historical Interpretation in the 20th Century: The Camera Never Lies",University of London International Programmes,https://www.classcentral.com/course/songwriting-3369,,"5-10 hours a week , 6 weeks long"
Physical Theatre: Exploring the Slap,University of Leeds,https://www.classcentral.com/course/songwriting-3369,,"2 hours a week , 2 weeks long"
Comics: Art in Relationship,California College of the Arts,https://www.classcentral.com/course/songwriting-3369,Kadenze,
Intro to the Design of Everyday Things,,https://www.classcentral.com/course/songwriting-3369,,
Explore Filmmaking: from Script to Screen,National Film and Television School,https://www.classcentral.com/course/songwriting-3369,,"3 hours a week , 6 weeks long"
"Hollywood: History, Industry, Art",University of Pennsylvania,https://www.classcentral.com/course/songwriting-3369,,"3-4 hours a week , 4 weeks long"
A Global History of Architecture,Massachusetts Institute of Technology,https://www.classcentral.com/course/songwriting-3369,,"7-9 hours a week , 12 weeks long"
Introduction to Graphic Design,Maryland Institute College of Art,https://www.classcentral.com/course/songwriting-3369,Kadenze,
Sound Synthesis Using Reaktor,California Institute of the Arts,https://www.classcentral.com/course/songwriting-3369,Kadenze,
The Modern Genius: Art and Culture in the 19th Century,Otis College of Art and Design,https://www.classcentral.com/course/songwriting-3369,Kadenze,/
The Architectural Imagination,Harvard University,https://www.classcentral.com/course/songwriting-3369,,"3-5 hours a week , 10 weeks long"
Product Design: The Delft Design Approach,Delft University of Technology,https://www.classcentral.com/course/songwriting-3369,,"6-8 hours a week , 7 weeks long"
Design in Healthcare: Using Patient Journey Mapping,,https://www.classcentral.com/course/songwriting-3369,,"3-4 hours a week , 8 weeks long"
"The Music of the Rolling Stones, 1962-1974",University of Rochester,https://www.classcentral.com/course/songwriting-3369,,"3-4 hours a week , 7 weeks long"
Teaching the Violin and Viola: Creating a Healthy Foundation,Northwestern University,https://www.classcentral.com/course/songwriting-3369,,"3-5 hours a week , 10 weeks long"
Cracking the Creativity Code: Discovering Ideas,Technion - Israel Institute of Technology,https://www.classcentral.com/course/songwriting-3369,,"2-4 hours a week , 5 weeks long"
