Name,Rank,State
New York,1,New York
Los Angeles,2,California
Chicago,3,Illinois
Houston,4,Texas
Phoenix,5,Arizona
Philadelphia,6,Pennsylvania
San Antonio,7,"Texas
"
San Diego,8,"California
"
Dallas,9,"Texas
"
San Jose,10,"California
"
Austin,11,"Texas
"
Jacksonville,12,Florida
Fort Worth,13,"Texas
"
Columbus,14,Ohio
Charlotte,15,North Carolina
San Francisco,16,"California
"
Indianapolis,17,Indiana
Seattle,18,Washington
Denver,19,Colorado
Washington,20,District of Columbia
Boston,21,Massachusetts
El Paso,22,"Texas
"
Nashville,23,Tennessee
Detroit,24,Michigan
Oklahoma City,25,Oklahoma
Portland,26,Oregon
Las Vegas,27,Nevada
Memphis,28,"Tennessee
"
Louisville,29,Kentucky
Baltimore,30,Maryland
Milwaukee,31,Wisconsin
Albuquerque,32,New Mexico
Tucson,33,"Arizona
"
Fresno,34,"California
"
Mesa,35,"Arizona
"
Sacramento,36,"California
"
Atlanta,37,Georgia
Kansas City,38,Missouri
Colorado Springs,39,"Colorado
"
Omaha,40,Nebraska
Raleigh,41,"North Carolina
"
Miami,42,"Florida
"
Long Beach,43,"California
"
Virginia Beach,44,Virginia
Oakland,45,"California
"
Minneapolis,46,Minnesota
Tulsa,47,"Oklahoma
"
Tampa,48,"Florida
"
Arlington,49,"Texas
"
New Orleans,50,Louisiana
Wichita,51,Kansas
Bakersfield,52,"California
"
Cleveland,53,"Ohio
"
Aurora,54,"Colorado
"
Anaheim,55,"California
"
Honolulu,56,Hawaii
Santa Ana,57,"California
"
Riverside,58,"California
"
Corpus Christi,59,"Texas
"
Lexington,60,"Kentucky
"
Henderson,61,"Nevada
"
Stockton,62,"California
"
Saint Paul,63,"Minnesota
"
Cincinnati,64,"Ohio
"
St. Louis,65,"Missouri
"
Pittsburgh,66,"Pennsylvania
"
Greensboro,67,"North Carolina
"
Lincoln,68,"Nebraska
"
Anchorage,69,Alaska
Plano,70,"Texas
"
Orlando,71,"Florida
"
Irvine,72,"California
"
Newark,73,New Jersey
Durham,74,"North Carolina
"
Chula Vista,75,"California
"
Toledo,76,"Ohio
"
Fort Wayne,77,"Indiana
"
St. Petersburg,78,"Florida
"
Laredo,79,"Texas
"
Jersey City,80,"New Jersey
"
Chandler,81,"Arizona
"
Madison,82,"Wisconsin
"
Lubbock,83,"Texas
"
Scottsdale,84,"Arizona
"
Reno,85,"Nevada
"
Buffalo,86,"New York
"
Gilbert,87,"Arizona
"
Glendale,88,"Arizona
"
North Las Vegas,89,"Nevada
"
Winston–Salem,90,"North Carolina
"
Chesapeake,91,"Virginia
"
Norfolk,92,"Virginia
"
Fremont,93,"California
"
Garland,94,"Texas
"
Irving,95,"Texas
"
Hialeah,96,"Florida
"
Richmond,97,"Virginia
"
Boise,98,Idaho
Spokane,99,"Washington
"
Baton Rouge,100,"Louisiana
"
Tacoma,101,"Washington
"
San Bernardino,102,"California
"
Modesto,103,"California
"
Fontana,104,"California
"
Des Moines,105,Iowa
Moreno Valley,106,"California
"
Santa Clarita,107,"California
"
Fayetteville,108,"North Carolina
"
Birmingham,109,Alabama
Oxnard,110,"California
"
Rochester,111,"New York
"
Port St. Lucie,112,"Florida
"
Grand Rapids,113,"Michigan
"
Huntsville,114,"Alabama
"
Salt Lake City,115,Utah
Frisco,116,"Texas
"
Yonkers,117,"New York
"
Amarillo,118,"Texas
"
Glendale,119,"California
"
Huntington Beach,120,"California
"
McKinney,121,"Texas
"
Montgomery,122,"Alabama
"
Augusta,123,"Georgia
"
Aurora,124,"Illinois
"
Akron,125,"Ohio
"
Little Rock,126,Arkansas
Tempe,127,"Arizona
"
Columbus,128,"Georgia
"
Overland Park,129,"Kansas
"
Grand Prairie,130,"Texas
"
Tallahassee,131,"Florida
"
Cape Coral,132,"Florida
"
Mobile,133,"Alabama
"
Knoxville,134,"Tennessee
"
Shreveport,135,"Louisiana
"
Worcester,136,"Massachusetts
"
Ontario,137,"California
"
Vancouver,138,"Washington
"
Sioux Falls,139,South Dakota
Chattanooga,140,"Tennessee
"
Brownsville,141,"Texas
"
Fort Lauderdale,142,"Florida
"
